date,quantity
28/10/2019,379.49
29/10/2019,669.51
30/10/2019,337.17
31/10/2019,603.74
01/11/2019,189.82
02/11/2019,241.34
03/11/2019,163.02
04/11/2019,66.38
05/11/2019,61.37
06/11/2019,117.99
07/11/2019,47.14
08/11/2019,124.21
09/11/2019,163.56
10/11/2019,181.84
11/11/2019,217.17
12/11/2019,233.48
13/11/2019,224.11
14/11/2019,391.97
15/11/2019,314.03
16/11/2019,361.98
17/11/2019,403.5
18/11/2019,254.15
19/11/2019,113.39
20/11/2019,320.6
21/11/2019,0
22/11/2019,186.06
23/11/2019,245.63
24/11/2019,404.95
25/11/2019,520.37
26/11/2019,766.6
27/11/2019,943.09
28/11/2019,1033.25
29/11/2019,401.32
30/11/2019,650.54
01/12/2019,461.89
02/12/2019,208.54
03/12/2019,192.3
04/12/2019,31.16
05/12/2019,224.17
06/12/2019,124.54
07/12/2019,309.29
08/12/2019,273.23
09/12/2019,474.41
10/12/2019,475.23
11/12/2019,412.59
12/12/2019,349.86
13/12/2019,232.03
14/12/2019,377.75
15/12/2019,311.51
16/12/2019,423.12
17/12/2019,221.11
18/12/2019,312.12
19/12/2019,0
20/12/2019,107.87
21/12/2019,133.3
22/12/2019,277.84
23/12/2019,340.99
24/12/2019,293.67
25/12/2019,468.49
26/12/2019,405.94
27/12/2019,565.38
28/12/2019,306.28
29/12/2019,365.69
30/12/2019,285.29
31/12/2019,183.67
01/01/2020,0
02/01/2020,80.16
03/01/2020,132.37
04/01/2020,40.55
05/01/2020,13.53
06/01/2020,103.45
07/01/2020,163.52
08/01/2020,320.82
09/01/2020,181.79
10/01/2020,258.72
11/01/2020,348.81
12/01/2020,570.07
13/01/2020,260.68
14/01/2020,626.04
15/01/2020,178.96
16/01/2020,238.88
17/01/2020,176.6
18/01/2020,103.84
19/01/2020,44.64
20/01/2020,100.14
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,861.15
29/01/2020,15.29
30/01/2020,15.29
31/01/2020,138.95
01/02/2020,190.74
02/02/2020,25.28
03/02/2020,271.51
04/02/2020,228.56
05/02/2020,166.46
06/02/2020,223.83
07/02/2020,424.1
08/02/2020,484.93
09/02/2020,356.01
10/02/2020,1049.08
11/02/2020,1017.16
12/02/2020,947.29
13/02/2020,812.83
14/02/2020,364.76
15/02/2020,133.69
16/02/2020,229.96
17/02/2020,188.33
18/02/2020,196.19
19/02/2020,278.37
20/02/2020,335.38
21/02/2020,377.12
22/02/2020,382.45
23/02/2020,394.11
24/02/2020,646.76
25/02/2020,600.66
26/02/2020,335.52
27/02/2020,153.32
28/02/2020,139.71
29/02/2020,48.71
01/03/2020,34.22
02/03/2020,119.32
03/03/2020,138.58
04/03/2020,154.09
05/03/2020,163.94
06/03/2020,192.48
07/03/2020,270.05
08/03/2020,703.38
09/03/2020,780.12
10/03/2020,669.89
11/03/2020,1151.17
12/03/2020,1301.89
13/03/2020,1071.85
14/03/2020,39.55
15/03/2020,219.31
16/03/2020,151.55
17/03/2020,92.32
18/03/2020,57.72
19/03/2020,107.44
20/03/2020,108.55
21/03/2020,233.43
22/03/2020,238.5
23/03/2020,475.36
24/03/2020,519.16
25/03/2020,0
26/03/2020,709.6
27/03/2020,916.27
28/03/2020,417.85
29/03/2020,353.76
30/03/2020,457.54
31/03/2020,413.07
01/04/2020,478.22
02/04/2020,0
03/04/2020,422.68
04/04/2020,252.11
05/04/2020,0
06/04/2020,640.15
07/04/2020,977.36
08/04/2020,1642.41
09/04/2020,1569.67
10/04/2020,1649.85
11/04/2020,1252.63
12/04/2020,307.04
13/04/2020,242.3
14/04/2020,493.37
15/04/2020,0
16/04/2020,30.26
17/04/2020,150.74
18/04/2020,200.71
19/04/2020,376.87
20/04/2020,398.34
21/04/2020,475.2
22/04/2020,461.27
23/04/2020,741.92
24/04/2020,375.07
25/04/2020,189.38
26/04/2020,291.9
27/04/2020,582.29
28/04/2020,0
29/04/2020,455.28
30/04/2020,0
01/05/2020,0
02/05/2020,303.44
03/05/2020,181.51
04/05/2020,463.51
05/05/2020,661.48
06/05/2020,1069.66
07/05/2020,1984.11
08/05/2020,2581.85
09/05/2020,2710.77
10/05/2020,1087.17
11/05/2020,1731.97
12/05/2020,981.53
13/05/2020,954.68
14/05/2020,435.89
15/05/2020,147.36
16/05/2020,198.03
17/05/2020,224.99
18/05/2020,106.39
19/05/2020,491.68
20/05/2020,493.03
21/05/2020,758.65
22/05/2020,789.55
23/05/2020,847.55
24/05/2020,510.77
25/05/2020,1281.96
26/05/2020,492.28
27/05/2020,1152.88
28/05/2020,326.18
29/05/2020,0
30/05/2020,158.69
31/05/2020,319.45
01/06/2020,399.17
02/06/2020,553.96
03/06/2020,742.45
04/06/2020,958.35
05/06/2020,2368.32
06/06/2020,3365.55
07/06/2020,2834.79
08/06/2020,2721.78
09/06/2020,1712.21
10/06/2020,0
11/06/2020,1080.99
12/06/2020,367.04
13/06/2020,270.38
14/06/2020,364.06
15/06/2020,271.02
16/06/2020,421.7
17/06/2020,586.32
18/06/2020,657.18
19/06/2020,813.51
20/06/2020,773.93
21/06/2020,1041.94
22/06/2020,626.61
23/06/2020,869.52
24/06/2020,986.61
25/06/2020,918.43
26/06/2020,329.5
27/06/2020,211.95
28/06/2020,0
29/06/2020,304.24
30/06/2020,661.91
01/07/2020,729.94
02/07/2020,608.8
